Quel est le mot depasse et le compte administrateurpar défaut du SNS ?;1;4;1;Login : admin, password : admin;Login : root, password : password;Login : admin, password : root;Login : root, password : stormshield;1;;;;;
Quelle est l’adresse IP par défaut du SNS ?;1;4;1;10.0.0.254/8;192.168.1.1/24;192.168.0.1/24;10.0.0.1/8;1;;;;;
En configuration usine, il est possible (si le matériel le supporte) de se connecter au firewall grâce :;1;4;3;A un câble série;Un écranu tilisant une connexion HDMI ou VGA; Une connexion SSH;Une connexion HTTPS;1;2;4;;;
Quelles sont les assertions vraies :;1;3;1;Les pare-feux SNS ne peuventpas stocker de logs en local.;Il est possible de stocker les logs sur une clef USB connectée au firewall.;4 serveurs syslog peuvent être configurés, ainsi que 4 serveurs de secours.;3;;;;;;
Par défaut, les logs n’affichent pas les adresses IP de destination à cause de la RGPD.;1;2;1;VRAI;FAUX;2;;;;;;;
Tous les administrateurs peuvent avoir accès aux informations personnelles dans les log à partir du moment où ils ont un mot de passe temporaired’accès.;1;2;1;VRAI;FAUX;1;;;;;;;
Le protocole syslog est utilisable uniquement chiffré avec TLS sur les firewalls Stormshield :;1;2;1;VRAI;FAUX;2;;;;;;;
Quelles sont les assertions vraies :;1;4;3;L’objet dynamique récupère son IP automatiquement depuis les serveurs DNS;Un objet hôte peutêtre dynamiqueou statique.; Un objet FQDN est toujours résolu automatiquement.;Grâce au DHCP, le pare-feu peut découvrir automatiquement les adresses IP des autres machines du réseau et créer les objets correspondants.;1;2;3;;;
Quelles sont les assertions vraies :;1;5;2;Il est impossible de créer manuellement l’objet Firewall_A.; Il est possible de créer un groupe d’objets FQDN.;L’objet Network_external est géré automatiquement par le pare-feu.;Il est possible d’exporter les objets sous forme d’un fichier CSV;L’import d’un fichier CSV remplace systématiquement toute la base d’objets. Il faut donc être vigilant et ne pas oublier d’objet dans le fichier au risque de casser la configuration.;1;4;;;
Les objets routeurs peuventêtre utilisés comme route par défaut :;1;2;1;VRAI;FAUX;1;;;;;;;
Une route de retour est obligatoire pour joindre l’Internet :;1;2;1;VRAI;FAUX;2;;;;;;;
Un bridge contenant les interfaces dmz1 et dmz2 permet aux machines connectées sur ces deux interfaces de communiquer directement sans filtrage ni analyse.;1;2;1;VRAI;FAUX;2;;;;;;;
La translation d’adresse permet à plusieurs serveurs web d’être accessibles sur la mêmeadresse IP publique et le même port.;1;2;1;VRAI;FAUX;2;;;;;;;
